smiles,pic50,scaffold,n_measurements
CC(=O)NCCNCc1ccc(OCc2cccc(-c3ccc4c(c3)OCCO4)c2CF)cc1OCc1cncc(C#N)c1,7.6,c1cncc(COc2cccc(OCc3cccc(-c4ccc5c(c4)OCCO5)c3)c2)c1,1
CC(=O)NCCNCc1ccc(OCc2cccc(-c3ccccc3)c2Br)cc1OCc1cccc(C#N)c1,6.36,c1ccc(COc2cccc(OCc3cccc(-c4ccccc4)c3)c2)cc1,1
CC(=O)NCCNCc1ccc(OCc2cccc(-c3ccccc3)c2C)nc1,6.96,c1ccc(-c2cccc(COc3ccccn3)c2)cc1,1
CC(=O)NCCNCc1ccc(OCc2cccc(-c3ccccc3F)c2C(F)F)cc1OCc1cncc(C#N)c1,7.0,c1ccc(-c2cccc(COc3cccc(OCc4cccnc4)c3)c2)cc1,1
CC(=O)NCCNCc1ccc(OCc2cccc(-c3ccccc3F)c2C)cc1OCc1cncc(C#N)c1,4.61,c1ccc(-c2cccc(COc3cccc(OCc4cccnc4)c3)c2)cc1,1
CC(=O)NCCNCc1ccc(OCc2cccc(-c3ccccc3F)c2CF)cc1OCc1cccc(C#N)c1,7.0,c1ccc(COc2cccc(OCc3cccc(-c4ccccc4)c3)c2)cc1,1
CC(=O)NCCNCc1ccc(OCc2cccc(-c3ccccc3F)c2CF)cc1OCc1cncc(C#N)c1,7.5,c1ccc(-c2cccc(COc3cccc(OCc4cccnc4)c3)c2)cc1,1
CC(=O)NCCNCc1ccc2c(N3CCc4c(-c5ccccc5)cccc43)ncnc2c1,6.9,c1ccc(-c2cccc3c2CCN3c2ncnc3ccccc23)cc1,1
CC(=O)NCCNCc1ccc2c(Nc3cccc(-c4ccc5c(c4)OCCO5)c3Cl)noc2c1,6.08,c1cc(Nc2noc3ccccc23)cc(-c2ccc3c(c2)OCCO3)c1,1
CC(=O)NCCNCc1ccc2c(Nc3cccc(-c4ccccc4)c3Cl)noc2c1,5.69,c1ccc(-c2cccc(Nc3noc4ccccc34)c2)cc1,1
CC(=O)NCCNCc1ccc2c(c1)C(=O)N(Cc1cccc(-c3ccccc3)c1C)C2=O,5.27,O=C1c2ccccc2C(=O)N1Cc1cccc(-c2ccccc2)c1,1
CC(=O)NCCNCc1ccc2oc(-c3cccc(-c4ccccc4)c3C)cc(=O)c2c1,5.85,O=c1cc(-c2cccc(-c3ccccc3)c2)oc2ccccc12,1
CC(=O)NCCNCc1ccc2onc(Nc3cccc(-c4ccc5c(c4)OCCO5)c3Cl)c2c1,6.36,c1cc(Nc2noc3ccccc23)cc(-c2ccc3c(c2)OCCO3)c1,1
CC(=O)NCCNCc1ccc2onc(Nc3cccc(-c4ccccc4)c3Cl)c2c1,6.71,c1ccc(-c2cccc(Nc3noc4ccccc34)c2)cc1,1
CC(=O)NCCNCc1cccc(C(=O)N2CCc3c(-c4ccccc4)cccc32)c1,6.13,O=C(c1ccccc1)N1CCc2c(-c3ccccc3)cccc21,1
CC(=O)NCCNCc1cccc(Nc2nnc(-c3cccc(-c4cccc(-c5nnc(Nc6cccc(CNCCNC(C)=O)c6)o5)c4C)c3C)o2)c1,7.23,c1ccc(Nc2nnc(-c3cccc(-c4cccc(-c5nnc(Nc6ccccc6)o5)c4)c3)o2)cc1,1
CC(=O)NCCNCc1cccc(Nc2nnc(-c3cccc(-c4cccc(-c5nnc(Nc6cccc(CNCCO)c6)o5)c4C)c3C)o2)c1,7.42,c1ccc(Nc2nnc(-c3cccc(-c4cccc(-c5nnc(Nc6ccccc6)o5)c4)c3)o2)cc1,1
