chembl_id,stereo_id,conf_id,smiles,source_file,canon_smiles,pred_pIC50
CHEMBL1773408,0,1,CC(C)(O)CCc1cn(Cc2ccc(F)cc2)c2cnc3c(c12)CCN(O)C3=O,t1_f5_p3,CC(C)(O)CCc1cn(Cc2ccc(F)cc2)c2cnc3c(c12)CCN(O)C3=O,7.096255779266357
CHEMBL232969,0,12,O=C(N[C@H]1CCC[C@H]1NCc1ccc(Cl)s1)c1ccc(-n2ccccc2=O)cc1,t1_f5_p3,O=C(N[C@H]1CCC[C@H]1NCc1ccc(Cl)s1)c1ccc(-n2ccccc2=O)cc1,6.688352584838867
CHEMBL3960257,1,16,CC(c1nc(-c2ccc3[nH]nc(-c4ccc(F)cc4)c3c2)n[nH]1)N(C)C,t1_f5_p3,CC(c1nc(-c2ccc3[nH]nc(-c4ccc(F)cc4)c3c2)n[nH]1)N(C)C,6.271180152893066
CHEMBL3917252,0,0,CN1C(=N)N[C@](C)(c2sc3c(-c4ccc(C5CC5)nc4)nccc3c2Cl)CS1(=O)=O,t1_f5_p3,CN1C(=N)N[C@](C)(c2sc3c(-c4ccc(C5CC5)nc4)nccc3c2Cl)CS1(=O)=O,7.412827014923096
CHEMBL589394,0,0,COc1cccc(C2c3[nH]c4ccc(C)cc4c3CCN2C(=O)CCN)c1,t1_f5_p3,COc1cccc(C2c3[nH]c4ccc(C)cc4c3CCN2C(=O)CCN)c1,6.510754108428955
CHEMBL3965341,1,9,Cc1noc(C)c1-c1ccc2c(c1)C(NC(=O)CN(C)C)(c1ccccc1)C(=O)N2,t1_f5_p3,Cc1noc(C)c1-c1ccc2c(c1)C(NC(=O)CN(C)C)(c1ccccc1)C(=O)N2,6.500164031982422
CHEMBL3666577,0,1,Cc1ccc(C(=O)N2CCC3(CC2)OCc2cc(C#N)ccc23)cc1NC(=O)NC1CCNCC1,t1_f5_p3,Cc1ccc(C(=O)N2CCC3(CC2)OCc2cc(C#N)ccc23)cc1NC(=O)NC1CCNCC1,7.499529838562012
CHEMBL1823636,0,3,O=C(NC(c1ccc(F)c(F)c1)C1CCNCC1)c1ccc2cnccc2c1,t1_f5_p3,O=C(NC(c1ccc(F)c(F)c1)C1CCNCC1)c1ccc2cnccc2c1,6.727895259857178
CHEMBL1386102,0,0,O=C(NC(=S)Nc1ccc(CN2CCOCC2)cc1)c1cc2ccccc2o1,t1_f5_p3,O=C(NC(=S)Nc1ccc(CN2CCOCC2)cc1)c1cc2ccccc2o1,6.353607654571533
CHEMBL1642856,1,26,O=S(=O)(c1cccc2ccccc12)c1n[nH]c2cc(NC3CCCNC3)ccc12,t1_f5_p3,O=S(=O)(c1cccc2ccccc12)c1n[nH]c2cc(NC3CCCNC3)ccc12,6.826181411743164
CHEMBL3928992,0,0,O=C(NCCCN1CCOCC1)c1ccc2[nH]nc(-c3ccc(F)cc3)c2c1,t1_f5_p3,O=C(NCCCN1CCOCC1)c1ccc2[nH]nc(-c3ccc(F)cc3)c2c1,6.487051963806152
CHEMBL1958409,0,2,O=c1cc(NC2CCCCC2)cc(-c2c[nH]c3ncccc23)[nH]1,t1_f5_p3,O=c1cc(NC2CCCCC2)cc(-c2c[nH]c3ncccc23)[nH]1,6.2076592445373535
CHEMBL3393710,0,3,Fc1cccnc1-c1ccc2[nH]nc(-c3cncc(O[C@H]4CNCCC45CC5)n3)c2c1,t1_f5_p3,Fc1cccnc1-c1ccc2[nH]nc(-c3cncc(O[C@H]4CNCCC45CC5)n3)c2c1,6.826205730438232
CHEMBL4107027,0,3,Cc1n[nH]cc1-c1cc(OCCN(C)C)c(C(=O)N[C@H](C)c2ccccc2)cc1F,t1_f5_p3,Cc1n[nH]cc1-c1cc(OCCN(C)C)c(C(=O)N[C@H](C)c2ccccc2)cc1F,6.702393531799316
CHEMBL4285832,0,20,Cn1c(C(=O)NCc2cccc3ccccc23)nc2cccc(OC3CCNCC3)c21,t1_f5_p3,Cn1c(C(=O)NCc2cccc3ccccc23)nc2cccc(OC3CCNCC3)c21,6.54026985168457
