smiles,pic50,scaffold,n_measurements,logS,substructure_match,generalized_match
CC(C)OC(=O)N1CCS(=O)(=Nc2cc(N3CCOCC3C)nc(-c3ccnc4[nH]ccc34)n2)CC1,8.4,O=S1(=Nc2cc(N3CCOCC3)nc(-c3ccnc4[nH]ccc34)n2)CCNCC1,1,-3.749434471130371,0,0
CC(C)OC(=O)c1ccc(-c2ccccc2)cc1,7.35,c1ccc(-c2ccccc2)cc1,1,-5.054315567016602,0,0
CC(C)c1ccc(C(=O)N2CCC(NC(=O)c3nc(-n4ccnc4)c4ccccc4n3)CC2)cc1,7.41,O=C(NC1CCN(C(=O)c2ccccc2)CC1)c1nc(-n2ccnc2)c2ccccc2n1,1,-3.943108081817627,0,0
CC(C)c1nc2ccccc2n1-c1nc(N=S(C)(C)=O)cc(N2CCOCC2C)n1,7.77,c1ccc2c(c1)ncn2-c1nccc(N2CCOCC2)n1,1,-3.9640066623687744,0,0
CC(CO)(CO)NCc1cc(Cl)c(Oc2ncnc3c(-c4ccc5c(c4)OCCO5)cccc23)cc1OCc1cccc(C#N)c1,7.73,c1ccc(COc2cccc(Oc3ncnc4c(-c5ccc6c(c5)OCCO6)cccc34)c2)cc1,1,-7.100032329559326,0,0
CC(CO)(CO)NCc1cc(Cl)c(Oc2ncnc3c(-c4ccc5c(c4)OCCO5)cccc23)cc1OCc1cncc(C#N)c1,8.8,c1cncc(COc2cccc(Oc3ncnc4c(-c5ccc6c(c5)OCCO6)cccc34)c2)c1,1,-6.3940534591674805,0,0
CC(CO)(CO)NCc1cc(Cl)c(Oc2ncnc3c(-c4ccccc4)cccc23)cc1OCc1cccc(C#N)c1,7.64,c1ccc(COc2cccc(Oc3ncnc4c(-c5ccccc5)cccc34)c2)cc1,1,-7.186458587646484,0,0
CC(CO)(CO)NCc1cc(Cl)c(Oc2ncnc3c(-c4ccccc4)cccc23)cc1OCc1cncc(C#N)c1,7.49,c1ccc(-c2cccc3c(Oc4cccc(OCc5cccnc5)c4)ncnc23)cc1,1,-6.787539005279541,0,0
CC(CO)(NCc1ccc(C(F)(F)F)c(C=Cc2cccc(-c3ccccc3)c2F)c1)C(=O)O,6.75,C(=Cc1cccc(-c2ccccc2)c1)c1ccccc1,1,-6.301321029663086,0,0
CC(NCc1cc(Cl)c(OCc2cccc(-c3ccccc3)c2Br)cc1OCc1cccc(C#N)c1)C(=O)O,8.5,c1ccc(COc2cccc(OCc3cccc(-c4ccccc4)c3)c2)cc1,1,-7.750986576080322,0,0
CC(NCc1cc(Cl)c(OCc2cccc(-c3ccccc3)c2Br)cc1OCc1cccnc1)C(=O)O,8.28,c1ccc(-c2cccc(COc3cccc(OCc4cccnc4)c3)c2)cc1,1,-7.099257946014404,0,0
CC(NCc1ccc(OCc2cccc(-c3ccccc3)c2Br)cc1OCc1cccc(C#N)c1)C(=O)O,6.75,c1ccc(COc2cccc(OCc3cccc(-c4ccccc4)c3)c2)cc1,1,-7.705193519592285,0,0
CC(NCc1ccc2c(Nc3cccc(-c4ccc5c(c4)OCCO5)c3Cl)nsc2c1)C(=O)O,7.36,c1cc(Nc2nsc3ccccc23)cc(-c2ccc3c(c2)OCCO3)c1,1,-6.443205833435059,0,0
CC(O)C(NC(=O)NC(CC(N)=O)C1NC(C(N)CO)=NO1)C(=O)O,7.77,C1=NOCN1,1,-0.8017662167549133,0,0
CC(O)C(NCc1cc(Cl)c(OCc2cccc(-c3ccccc3)c2Br)cc1OCC1CC1)C(=O)O,7.99,c1ccc(-c2cccc(COc3cccc(OCC4CC4)c3)c2)cc1,1,-7.326340675354004,0,0
CC(O)C(NCc1ccc(OCc2cccc(-c3ccc4c(c3)OCCO4)c2Br)cc1OCc1cccc(C#N)c1)C(=O)O,7.74,c1ccc(COc2cccc(OCc3cccc(-c4ccc5c(c4)OCCO5)c3)c2)cc1,1,-6.878641605377197,0,0
CC(O)C(NCc1ccc(OCc2cccc(-c3ccccc3)c2Br)c([N+](=O)[O-])c1)C(=O)O,6.45,c1ccc(OCc2cccc(-c3ccccc3)c2)cc1,1,-5.6667866706848145,0,0
CC(O)C(NCc1ccc(OCc2cccc(-c3ccccc3)c2Br)cc1OCc1cccc(C#N)c1)C(=O)O,6.87,c1ccc(COc2cccc(OCc3cccc(-c4ccccc4)c3)c2)cc1,1,-7.469627380371094,0,0
CC(c1ccc(O)cc1)c1ccc(O)cc1,7.77,c1ccc(Cc2ccccc2)cc1,1,-3.207688808441162,0,0
CC1(O)CCN(Cc2ccc3c(Nc4cccc(-c5ccc6c(c5)OCCO6)c4Cl)nsc3c2)C1,7.01,c1cc(Nc2nsc3cc(CN4CCCC4)ccc23)cc(-c2ccc3c(c2)OCCO3)c1,1,-6.517303943634033,0,0
CC1(O)CCN(Cc2ccc3snc(Nc4cccc(-c5ccc6c(c5)OCCO6)c4Cl)c3c2)C1,6.75,c1cc(Nc2nsc3ccc(CN4CCCC4)cc23)cc(-c2ccc3c(c2)OCCO3)c1,1,-6.406743049621582,0,0
CC1=NC2C=C(c3cccc(C=Cc4cc(CNC(C)(CO)C(=O)O)ccc4C(F)(F)F)c3C)C=CC2O1,6.27,C1=CC2OC=NC2C=C1c1cccc(C=Cc2ccccc2)c1,1,-5.72243595123291,0,0
CC1=NN(c2ccccn2)C(=O)C1,7.04,O=C1CC=NN1c1ccccn1,1,-1.9396134614944456,0,0
CC1COCCN1c1cc(C2(C)CCCS2(=O)=O)nc(-c2ccnc3[nH]ccc23)n1,8.22,O=S1(=O)CCCC1c1cc(N2CCOCC2)nc(-c2ccnc3[nH]ccc23)n1,1,-3.432393789291382,0,0
CC1COCCN1c1cc(C2CCCCS2(=O)=O)nc(-c2ccnc3[nH]ccc23)n1,8.1,O=S1(=O)CCCCC1c1cc(N2CCOCC2)nc(-c2ccnc3[nH]ccc23)n1,1,-3.4384677410125732,0,0
