SMILES,Comment,RDKit_SMILES (REINVENT),Score,PD1PDL1Sol_raw,PD1PDL1Sol_raw (raw)
COc1nc(-c2cccc(-c3nccc4c3CCC4Oc3nc(OC)c(CN4CCC(C(=O)O)C4)cc3C(F)(F)F)c2Cl)ccc1CNCC1CCC(=O)N1,,COc1nc(-c2cccc(-c3nccc4c3CCC4Oc3nc(OC)c(CN4CCC(C(=O)O)C4)cc3C(F)(F)F)c2Cl)ccc1CNCC1CCC(=O)N1,0.5113338232040405,0.5113338,0.5113338,-5.341479
COc1nc(-c2cccc(-c3cccc(-c4cnc(CNCC5CCCO5)c(OC)n4)c3Cl)c2Cl)cnc1CNCC1CCC(=O)N1,,COc1nc(-c2cccc(-c3cccc(-c4cnc(CNCC5CCCO5)c(OC)n4)c3Cl)c2Cl)cnc1CNCC1CCC(=O)N1,0.4609187841415405,0.46091878,0.46091878,-6.113333
CNc1nc(-c2cccc(-c3cccc(-c4cnc(CN5CCC(O)C5)c(OC)n4)c3Cl)c2Cl)cnc1CN1CCC1,,CNc1nc(-c2cccc(-c3cccc(-c4cnc(CN5CCC(O)C5)c(OC)n4)c3Cl)c2Cl)cnc1CN1CCC1,0.4727320075035095,0.472732,0.472732,-5.932473
COc1nc(-c2cccc(-c3cccc(-c4cnc(CN5CC(O)C5)c(OC)n4)c3Cl)c2Cl)cnc1CNCC1CCC(=O)N1,,COc1nc(-c2cccc(-c3cccc(-c4cnc(CN5CC(O)C5)c(OC)n4)c3Cl)c2Cl)cnc1CNCC1CCC(=O)N1,0.5317004323005676,0.53170043,0.53170043,-5.0296664
COc1nc(-c2cccc(-c3cccc(-c4cnc(CNCC5CCC(=O)N5)c(OC)n4)c3Cl)c2Cl)cnc1CNCC1CCOC1,,COc1nc(-c2cccc(-c3cccc(-c4cnc(CNCC5CCC(=O)N5)c(OC)n4)c3Cl)c2Cl)cnc1CNCC1CCOC1,0.4861900806427002,0.48619008,0.48619008,-5.72643
COc1nc(OC2CCc3c(-c4cccc(-c5nc(OC)c(CNCCN6CCN(C)CC6)cc5Cl)c4Cl)cccc32)c(C(F)(F)F)cc1CN1CC2CCC2(C(=O)O)C1,,COc1nc(OC2CCc3c(-c4cccc(-c5nc(OC)c(CNCCN6CCN(C)CC6)cc5Cl)c4Cl)cccc32)c(C(F)(F)F)cc1CN1CC2CCC2(C(=O)O)C1,0.517997682094574,0.5179977,0.5179977,-5.2394557
COc1nc(-c2cccc(-c3cccc(-c4cnc(CN5CC6(CCC(=O)N6)C5)c(OC)n4)c3Cl)c2Cl)cnc1CNCC1CCC(=O)N1,,COc1nc(-c2cccc(-c3cccc(-c4cnc(CN5CC6(CCC(=O)N6)C5)c(OC)n4)c3Cl)c2Cl)cnc1CNCC1CCC(=O)N1,0.5173613429069519,0.51736134,0.51736134,-5.2491975
COc1nc(-c2cccc(-c3cccc(-c4cnc(CN(CCO)C(C)=O)c(OC)n4)c3Cl)c2Cl)cnc1CN1CCC1,,COc1nc(-c2cccc(-c3cccc(-c4cnc(CN(CCO)C(C)=O)c(OC)n4)c3Cl)c2Cl)cnc1CN1CCC1,0.4607290029525757,0.460729,0.460729,-6.116239
COc1nc(-c2cccc(-c3cccc(-c4cnc(CN5CC(O)C5)c(CN5CC(C)(O)C5)n4)c3Cl)c2)cnc1CN1CC2(CNC(=O)C2)C1,,COc1nc(-c2cccc(-c3cccc(-c4cnc(CN5CC(O)C5)c(CN5CC(C)(O)C5)n4)c3Cl)c2)cnc1CN1CC2(CNC(=O)C2)C1,0.5659860968589783,0.5659861,0.5659861,-4.5047526
COc1nc(-c2cccc(-c3cccc(-c4cnc(CNCC5CCC(=O)N5)c(OC)n4)c3Cl)c2Cl)ccc1CN1CC(O)C1,,COc1nc(-c2cccc(-c3cccc(-c4cnc(CNCC5CCC(=O)N5)c(OC)n4)c3Cl)c2Cl)ccc1CN1CC(O)C1,0.5342191457748413,0.53421915,0.53421915,-4.991105
